#	r_eq	V_0
3.67028e-008	4.00924e-022
1.02138e-007	4.22348e-021
6.15683e-008	1.31691e-021
4.1885e-008	4.89754e-022
1.48086e-008	3.4787e-023
6.87785e-008	1.337e-021
1.00437e-007	3.58263e-021
4.84725e-008	4.58176e-022
1.08532e-007	4.1774e-021
9.87063e-008	3.72372e-021
1.05309e-007	4.61556e-021
1.00903e-007	4.13673e-021
9.9339e-008	3.0712e-021
1.02749e-007	4.19488e-021
1.5831e-008	3.59068e-023
1.06345e-007	4.0364e-021
1.06786e-007	3.21919e-021
5.59712e-009	3.9589e-024
9.05973e-008	2.21733e-021
9.05973e-008	2.08903e-021
8.70707e-008	1.98013e-021
9.79096e-008	2.96717e-021
1.01213e-007	4.29901e-021
9.26488e-008	4.34328e-021
5.59712e-009	4.0774e-024
1.67914e-008	4.04245e-023
3.95776e-008	2.60092e-022
8.8675e-008	2.46862e-021
1.00281e-007	3.95822e-021
1.12361e-007	4.06556e-021
1.01523e-007	3.76059e-021
9.9339e-008	3.45694e-021
6.10574e-008	1.09003e-021
9.53155e-008	2.81356e-021
1.07225e-007	4.12206e-021
1.01984e-007	4.00523e-021
8.45146e-008	2.77317e-021
9.85474e-008	2.97594e-021
9.67832e-008	2.71994e-021
1.01213e-007	3.69601e-021
5.59712e-009	4.04304e-024
5.59712e-009	4.16195e-024
1.00903e-007	3.54474e-021
1.48086e-008	3.03495e-023
9.67832e-008	2.83225e-021
9.77495e-008	3.22736e-021
9.46559e-008	3.13018e-021
1.03206e-007	3.36657e-021
5.33931e-008	5.25513e-022
1.01523e-007	3.58922e-021
1.11522e-007	4.51311e-021
6.30763e-008	7.79074e-022
1.01984e-007	3.95156e-021
2.23885e-008	7.22583e-023
9.43243e-008	2.60102e-021
9.21402e-008	2.48212e-021
4.26264e-008	4.43721e-022
1.04563e-007	4.95161e-021
1.00437e-007	3.7144e-021
4.1885e-008	3.13258e-022
1.05011e-007	2.67999e-021
1.03509e-007	3.38864e-021
1.11381e-007	3.95491e-021
9.94966e-008	3.06275e-021
1.00593e-007	2.85968e-021
5.59712e-009	3.76874e-024
9.80694e-008	3.42262e-021
9.66213e-008	4.22356e-021
1.06639e-007	3.57952e-021
9.11145e-008	2.33146e-021
2.16775e-008	6.72127e-023
9.80694e-008	3.27336e-021
1.08388e-007	3.92475e-021
9.53155e-008	2.89987e-021
1.25155e-008	2.23401e-023
9.94966e-008	2.96098e-021
1.00748e-007	3.37706e-021
9.53155e-008	2.5525e-021
9.59706e-008	2.58361e-021
1.03962e-007	3.43608e-021
1.09538e-007	3.99461e-021
4.15093e-008	3.21968e-022
1.07953e-007	4.03054e-021
1.00281e-007	4.08299e-021
1.08243e-007	4.53244e-021
3.4503e-008	1.9478e-022
4.03614e-008	3.30459e-022
1.01831e-007	4.19833e-021
9.62965e-008	2.74012e-021
9.49863e-008	3.40169e-021
9.87063e-008	3.58863e-021
4.97483e-008	4.76959e-022
1.0516e-007	3.97643e-021
9.79096e-008	2.78284e-021
2.09425e-008	6.6299e-023
1.04713e-007	3.2793e-021
1.09681e-007	4.35122e-021
3.4503e-008	2.09355e-022
8.90276e-008	2.35833e-021
9.16288e-008	2.44656e-021
1.00593e-007	3.73619e-021
5.59712e-009	4.18632e-024
7.91552e-009	8.41127e-024
9.53155e-008	3.70782e-021
1.0882e-007	3.55561e-021
1.06786e-007	4.43202e-021
9.33226e-008	2.90024e-021
1.0516e-007	3.32565e-021
7.91552e-009	8.91698e-024
1.37101e-008	2.83292e-023
1.00593e-007	4.14749e-021
1.00281e-007	3.67955e-021
6.59891e-008	8.31467e-022
9.69449e-008	3.86471e-021
1.05902e-007	3.87232e-021
1.09395e-007	4.26751e-021
1.04862e-007	4.09547e-021
1.01523e-007	3.19089e-021
2.43973e-008	9.82246e-023
1.00593e-007	3.67961e-021
9.85474e-008	3.69404e-021
9.69449e-009	1.28685e-023
1.02749e-007	4.08658e-021
8.63481e-008	1.89439e-021
9.9339e-008	3.74665e-021
1.06933e-007	4.18653e-021
7.91552e-009	8.34839e-024
2.01807e-008	5.83827e-023
9.28177e-008	3.16777e-021
4.11303e-008	3.05983e-022
1.48086e-008	3.11327e-023
9.12862e-008	2.24652e-021
9.197e-008	3.98649e-021
1.07953e-007	4.00233e-021
2.43973e-008	8.59302e-023
9.38248e-008	3.06167e-021
9.11145e-008	3.03224e-021
1.07079e-007	4.72586e-021
1.04713e-007	3.456e-021
3.01414e-008	1.35124e-022
9.99677e-008	3.66502e-021
1.04713e-007	4.62374e-021
1.67914e-008	4.28606e-023
1.01831e-007	4.39435e-021
1.06198e-007	4.35856e-021
9.29863e-008	2.26937e-021
9.33226e-008	4.09705e-021
9.41581e-008	2.65183e-021
9.43243e-008	2.52505e-021
9.16288e-008	4.00138e-021
7.18963e-008	1.3484e-021
9.34903e-008	2.54244e-021
9.24796e-008	2.55867e-021
5.06841e-008	4.81619e-022
1.06345e-007	3.89185e-021
1.01213e-007	4.54411e-021
9.66213e-008	4.55199e-021
5.28031e-008	7.59646e-022
1.03357e-007	3.82809e-021
1.08676e-007	4.51669e-021
9.67832e-008	2.97806e-021
7.91552e-009	8.15707e-024
5.59712e-009	4.1739e-024
9.6459e-008	3.06667e-021
9.39916e-008	2.54108e-021
1.00124e-007	3.80239e-021
9.39916e-008	2.80963e-021
1.03054e-007	4.01212e-021
9.231e-008	2.34632e-021
9.74285e-008	2.77409e-021
9.54797e-008	3.54658e-021
7.16781e-008	1.7368e-021
8.68907e-008	1.93708e-021
9.98109e-008	3.15933e-021
9.98109e-008	4.1566e-021
4.29923e-008	3.22315e-022
9.41581e-008	2.53907e-021
1.02444e-007	4.14239e-021
8.70707e-008	2.04286e-021
1.03206e-007	4.00529e-021
9.98109e-008	4.07301e-021
1.07953e-007	4.53074e-021
9.43243e-008	2.87019e-021
